Project Name,Package Name,Architecture Smell,Cause of the Smell
.,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.0. All the dependencies among components: from: io.jhdf to: io.jhdf.storage; from: io.jhdf to: io.jhdf.api; from: io.jhdf to: io.jhdf.object.message; from: io.jhdf to: io.jhdf.object.datatype; from: io.jhdf to: io.jhdf.dataset; from: io.jhdf to: io.jhdf.btree; from: io.jhdf to: io.jhdf.btree.record; from: io.jhdf to: io.jhdf.checksum; from: io.jhdf to: io.jhdf.exceptions; from: io.jhdf.btree to: io.jhdf.storage; from: io.jhdf.btree to: io.jhdf; from: io.jhdf.btree to: io.jhdf.dataset.chunked; from: io.jhdf.btree to: io.jhdf.checksum; from: io.jhdf.btree to: io.jhdf.exceptions; from: io.jhdf.btree.record to: io.jhdf; from: io.jhdf.btree.record to: io.jhdf.dataset.chunked; from: io.jhdf.btree.record to: io.jhdf.exceptions; from: io.jhdf.checksum to: io.jhdf.exceptions; from: io.jhdf.dataset.chunked to: io.jhdf.storage; from: io.jhdf.dataset.chunked to: io.jhdf.api; from: io.jhdf.dataset.chunked to: io.jhdf; from: io.jhdf.dataset.chunked to: io.jhdf.filter; from: io.jhdf.dataset.chunked.indexing to: io.jhdf.btree; from: io.jhdf.dataset.chunked.indexing to: io.jhdf.storage; from: io.jhdf.dataset.chunked.indexing to: io.jhdf.dataset.chunked; from: io.jhdf.dataset.chunked.indexing to: io.jhdf; from: io.jhdf.dataset.chunked.indexing to: io.jhdf.checksum; from: io.jhdf.dataset to: io.jhdf.storage; from: io.jhdf.dataset to: io.jhdf.api; from: io.jhdf.dataset to: io.jhdf; from: io.jhdf.dataset to: io.jhdf.object.datatype; from: io.jhdf.dataset to: io.jhdf.object.message; from: io.jhdf.dataset to: io.jhdf.filter; from: io.jhdf.dataset to: io.jhdf.api.dataset; from: io.jhdf.dataset to: io.jhdf.exceptions; from: io.jhdf.examples to: io.jhdf.api; from: io.jhdf.examples to: io.jhdf.api.dataset; from: io.jhdf.examples to: io.jhdf; from: io.jhdf.filter to: io.jhdf; from: io.jhdf.filter to: io.jhdf.exceptions; from: io.jhdf.filter to: io.jhdf.api; from: io.jhdf.links to: io.jhdf.api; from: io.jhdf.links to: io.jhdf; from: io.jhdf.links to: io.jhdf.exceptions; from: io.jhdf.object.datatype to: io.jhdf.storage; from: io.jhdf.object.datatype to: io.jhdf.dataset; from: io.jhdf.object.datatype to: io.jhdf; from: io.jhdf.object.datatype to: io.jhdf.exceptions; from: io.jhdf.object.message to: io.jhdf; from: io.jhdf.object.message to: io.jhdf.object.datatype; from: io.jhdf.object.message to: io.jhdf.storage; from: io.jhdf.object.message to: io.jhdf.exceptions; from: io.jhdf.storage to: io.jhdf; from: io.jhdf.attribute to: io.jhdf; from: io.jhdf.attribute to: io.jhdf.api; from: io.jhdf.nio to: io.jhdf.api; from: io.jhdf.nio to: io.jhdf.object.datatype.
.,io.jhdf,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
.,io.jhdf,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.jhdf.object.message; io.jhdf.object.datatype; io.jhdf.dataset; io.jhdf.btree; io.jhdf.btree.record
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.storage; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.object.message; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.object.datatype; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.dataset; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.btree; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.btree.record; io.jhdf
.,io.jhdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.jhdf; io.jhdf.dataset; io.jhdf.filter; io.jhdf
