Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,io.jhdf.benchmarks,MemoryMapBenchmark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.benchmarks,MemoryMapBenchmark,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tempFile; readSize
.,io.jhdf,AbstractNode.AttributesLazyInitializer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: lazyObjectHeader
.,io.jhdf,AbstractNode.AttributesLazyInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,AttributeImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,CommittedDatatype,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNode
.,io.jhdf,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NULL; SPACE; UNDEFINED_ADDRESS; PATH_SEPARATOR
.,io.jhdf,FractalHeap.IndirectBlock,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: childBlockAddresses
.,io.jhdf,FractalHeap.IndirectBlock,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,FractalHeap.DirectBlock,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: CHECKSUM_PRESENT_BIT; address; data; blockOffset
.,io.jhdf,FractalHeap.DirectBlock,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,GlobalHeap.GlobalHeapObject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: index; referenceCount; data
.,io.jhdf,GlobalHeap.GlobalHeapObject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,GroupImpl,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HdfFile; GroupImpl
.,io.jhdf,GroupImpl.ChildrenLazyInitializer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: hdfBackingStorage; parent
.,io.jhdf,GroupImpl.ChildrenLazyInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,HdfFile,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
.,io.jhdf,ObjectHeader.ObjectHeaderV1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: version; referenceCount
.,io.jhdf,ObjectHeader.ObjectHeaderV1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,ObjectHeader.ObjectHeaderV2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf,ObjectHeader.ObjectHeaderV2,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: OBJECT_HEADER_V2_SIGNATURE; OBJECT_HEADER_V2_CONTINUATION_SIGNATURE; ATTRIBUTE_CREATION_ORDER_TRACKED; ATTRIBUTE_CREATION_ORDER_INDEXED; NUMBER_OF_ATTRIBUTES_PRESENT; TIMESTAMPS_PRESENT; version; accessTime; modificationTime; changeTime; birthTime; maximumNumberOfCompactAttributes; maximumNumberOfDenseAttributes; flags
.,io.jhdf,Superblock.SuperblockV0V1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
