Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,io.jhdf.benchmarks,MemoryMapBenchmark,setUp,Magic Number,The method contains a magic number: 10485760,66
.,io.jhdf,FractalHeap,FractalHeap,Complex Method,Cyclomatic complexity of the method is 8,98
.,io.jhdf,FractalHeap,FractalHeap,Long Identifier,The length of the field addressOfManagedBlocksFreeSpaceManager is 38.,98
.,io.jhdf,FractalHeap,FractalHeap,Long Identifier,The length of the field amountOfAllocatedManagedSpaceInHeap is 35.,98
.,io.jhdf,FractalHeap,FractalHeap,Long Identifier,The length of the field offsetOfDirectBlockAllocationIteratorInManagedSpace is 51.,98
.,io.jhdf,FractalHeap,FractalHeap,Long Identifier,The length of the field startingRowsInRootIndirectBlock is 31.,98
.,io.jhdf,FractalHeap,FractalHeap,Long Identifier,The length of the field currentRowsInRootIndirectBlock is 30.,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 4,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 4,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 12,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 3,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 4,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 4,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 2,98
.,io.jhdf,FractalHeap,FractalHeap,Magic Number,The method contains a magic number: 4,98
