Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,io.jhdf,AttributesTest,attributeTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf,AttributesTest,testAttributeCreationOrderTrackingEarliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,AttributesTest,testAttributeCreationOrderTrackingLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,CommittedDatatypeTest,testGettingCommittedDatatypeByAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,DatasetImplTest,testByteDatasetBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,DatasetImplTest,testShortDatasetBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,DatasetImplTest,testIntDatasetBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,DatasetImplTest,testFloatDatasetBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,DatasetImplTest,testDoubleDatasetBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,DatasetImplTest,testSlicedRead,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,FractalHeapTest,testGetIdWorksForValidId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,FractalHeapTest,testGetters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
.,io.jhdf,GlobalHeapTest,testGettingObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,GroupSymbolTableNodeTest,testGroupSymbolTableNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf,GroupTest,testGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.jhdf,GroupTest,testGetByPathThroughDatasetThrows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileChannelTest,testReadingBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testOpeningValidFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,HdfFileTest,testOpeningFileWithLargeMaxDimensionsSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testOpeningInvalidFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testOpeningMissingFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,HdfFileTest,testRootGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testNodesUnderTheRootGroupHaveTheRightPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf,HdfFileTest,recurseThroughTheFileCallingBasicMethodsOnAllNodes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf,HdfFileTest,testGettingChildByName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testGettingByPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testGettingByPathWithLeadingSlash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testGettingByInvalidPathWithLeadingSlashThrows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf,HdfFileTest,testAttributes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,HdfFileTest,testReadingFromStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,HdfFileTest,testLoadingInMemoryFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,HdfFileTest,testLoadingInMemoryFileFromByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf,HdfFileTest,testLoadingInMemoryFileFromByteArrayTwo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf,HdfFileTest,testGettingNodesByAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,io.jhdf,LargeAttributesTest,testGettingObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,io.jhdf,LargeGroupTest,datasetReadTests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf,LocalHeapTest,testLocalHeap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf,LocalHeapTest,testAccessingData,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,ObjectHeaderTest,testObjectHeaderOnGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf,ObjectHeaderTest,testObjectHeaderOnFloat32Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf,ObjectHeaderTest,testObjectHeaderOnFloat64Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf,ObjectHeaderTest,testObjectHeaderOnInt8Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf,ObjectHeaderTest,testLazyObjectHeader,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.jhdf,ObjectHeaderV2Test,testRootGroupObjectHeaderV2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testDatasetsGroupObjectHeaderV2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testObjectHeaderOnFloat16Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testObjectHeaderOnFloat32Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testObjectHeaderOnFloat64Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testObjectHeaderOnInt8Dataset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,io.jhdf,ObjectHeaderV2Test,testCreationOrderTracked,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,io.jhdf,OrderedGroupTest,testOrderedGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,OrderedGroupTest,testUnOrderedGroup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,SuperblockTest,testExtractV0SuperblockFromFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
.,io.jhdf,SuperblockTest,testReadingSuperblockExtension,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,SuperblockV3Test,testExtractV0SuperblockFromFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,io.jhdf,SymbolTableEntryTest,testSymbolTableEntry,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,io.jhdf,UserBlockTest,testEarliest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,UserBlockTest,testLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.jhdf,UtilsTest,testMovingBufferAlreadyAtEightBytePositionDoesNothing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testMovingBufferToNextEightBytePosition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingOneByteToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingTwoBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingThreeBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingThreeBytesToLongBigEndian,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.jhdf,UtilsTest,testReadingFourBytesToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
